255,0,0,red
254,0,2,red
206,0,25,red
209,23,23,red
204,22,0,red
220,0,3,red
255,0,255,red
253,251,251,white
249,255,241,white
250,240,230,white
255,237,231,white
243,239,227,white 
229,224,221,white
242,233,228,white
238,228,220,white
242,233,228,white
248,249,254,white
249,253,255,white
255,254,255,white
242,233,228,white
0,246,255,white
47,47,47,black
0,0,0,black
9,0,0,black
27,32,35,black
28,29,33,black
28,28,28,black
37,37,37,black
36,29,33,black
210,220,210,silver
0,203,255,silver
128,251,255,silver
91,240,255,silver
85,235,255,silver
195,199,199,silver
192,192,192,silver
178,180,179,silver
79,104,255,silver
105,125,255,silver
0,147,255,silver
20,147,255,silver
0,20,255,silver
131,137,255,silver
30,47,255,gray
91,106,255,gray
41,35,44,gray
80,80,80,gray
68,72,83,gray
69,70,75,gray
54,55,55,gray
49,54,57,gray
1,118,187,gray
30,5,253,gray
117,123,180,gray
79,85,0,gray
100,18,25,gray
137,175,129,gray
151,167,192,gray
130,146,169,gray
138,161,124,tan
141,160,177,tan
124,27,60,darkred
139,0,0,darkred
122,0,133,darkred
110,0,150,darkred
160,129,153,darkred 
150,100,140,darkred
200,144,41,darkred
121,133,153,darkred
90,0,0,darkred
94,0,18,darkred
45,8,45,darkred
255,115,255,brown
96,15,0,brown
128,64,0,brown
20,0,34,brown
