               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.013681,            0.041609,            0.002037,             0.97668,             0.96646,                0.99,             0.91464,           0.0095201,            0.021229,           0.0058052,            0.006535,            0.006535,            0.006535
                  37,            0.013476,            0.041186,            0.002048,             0.97202,             0.96722,              0.9875,             0.91548,           0.0087163,            0.020676,           0.0062795,            0.006436,            0.006436,            0.006436
                  38,            0.013146,            0.040573,           0.0020163,             0.97785,             0.96832,             0.99116,             0.90967,           0.0092504,            0.023666,           0.0053656,            0.006337,            0.006337,            0.006337
                  39,             0.01306,            0.040361,            0.002016,              0.9687,             0.96986,             0.99046,             0.91445,           0.0087399,             0.02187,           0.0066751,            0.006238,            0.006238,            0.006238
                  40,            0.012882,            0.039682,           0.0019623,             0.98422,             0.97319,             0.99215,             0.92519,           0.0085185,            0.021591,           0.0045455,            0.006139,            0.006139,            0.006139
                  41,            0.012692,            0.039785,           0.0019115,              0.9742,             0.96746,              0.9913,             0.92143,           0.0086493,            0.021196,           0.0055071,             0.00604,             0.00604,             0.00604
                  42,            0.012468,            0.039341,           0.0018925,             0.97185,             0.96382,             0.98962,             0.90458,           0.0085496,            0.021242,           0.0058376,            0.005941,            0.005941,            0.005941
                  43,            0.012449,             0.03923,           0.0018527,             0.97868,               0.966,             0.99125,             0.90743,           0.0087557,            0.022068,           0.0054714,            0.005842,            0.005842,            0.005842
                  44,             0.01216,            0.038326,           0.0018529,             0.98182,             0.96804,             0.98997,              0.9254,           0.0086578,            0.021391,           0.0065038,            0.005743,            0.005743,            0.005743
                  45,            0.012156,            0.037617,           0.0018509,             0.97004,             0.96624,             0.98828,             0.91977,           0.0083145,            0.021185,           0.0074097,            0.005644,            0.005644,            0.005644
                  46,            0.012112,            0.037829,           0.0017953,             0.96912,             0.96489,             0.98834,             0.92168,           0.0088559,            0.022142,           0.0062658,            0.005545,            0.005545,            0.005545
